Index,Name,Expansion,Min price,Exemplaires en vente,Rareté,mkm_url,expansion_release_date,Tournament_last_month,Price trend,Price 7 days,Price 30 days,Code,Expansion_code,Number_code
238,Kyurem VMAX,Lost-Origin,3.0,256,Secret Rare ,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Kyurem-VMAX-V2-LOR197,"9TH SEPTEMBER, 2022",,"8,03 €","7,95 €","8,73 €",LOR 197,LOR,197
239,Colress's Experiment,Lost-Origin,2.9,237,Secret Rare ,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Colresss-Experiment-V3-LOR205,"9TH SEPTEMBER, 2022",,"5,65 €","4,50 €","5,73 €",LOR 205,LOR,205
240,Drapion VSTAR,Lost-Origin,3.8,262,Secret Rare ,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Drapion-VSTAR-V2-LOR200,"9TH SEPTEMBER, 2022",,"6,02 €","5,76 €","5,72 €",LOR 200,LOR,200
241,Volo,Lost-Origin,2.85,239,Secret Rare ,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Volo-V3-LOR211,"9TH SEPTEMBER, 2022",,"4,59 €","5,59 €","4,42 €",LOR 211,LOR,211
242,Rotom V,Lost-Origin,30.0,176,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Rotom-V-V3-LOR177,"9TH SEPTEMBER, 2022",193.0,"35,97 €","35,82 €","39,13 €",LOR 177,LOR,177
243,Aerodactyl VSTAR,Lost-Origin,5.3,229,Secret Rare ,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Aerodactyl-VSTAR-V2-LOR199,"9TH SEPTEMBER, 2022",,"8,71 €","9,45 €","9,67 €",LOR 199,LOR,199
244,Hisuian Goodra VSTAR,Lost-Origin,4.5,228,Secret Rare ,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Hisuian-Goodra-VSTAR-V2-LOR202,"9TH SEPTEMBER, 2022",,"6,83 €","7,07 €","7,56 €",LOR 202,LOR,202
245,Hisuian Zoroark VSTAR,Lost-Origin,4.5,275,Secret Rare ,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Hisuian-Zoroark-VSTAR-V2-LOR203,"9TH SEPTEMBER, 2022",,"6,31 €","5,77 €","7,52 €",LOR 203,LOR,203
246,Lady,Lost-Origin,3.5,203,Secret Rare ,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Lady-V3-LOR208,"9TH SEPTEMBER, 2022",,"6,52 €","8,50 €","6,63 €",LOR 208,LOR,208
247,Galarian Perrserker V,Lost-Origin,9.5,225,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Galarian-Perrserker-V-V3-LOR184,"9TH SEPTEMBER, 2022",0.0,"17,81 €","16,14 €","19,58 €",LOR 184,LOR,184
248,Arezu,Lost-Origin,2.49,212,Secret Rare ,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Arezu-V3-LOR204,"9TH SEPTEMBER, 2022",,"5,24 €","4,65 €","5,02 €",LOR 204,LOR,204
249,Giratina VSTAR,Lost-Origin,14.95,187,Secret Rare ,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Giratina-VSTAR-V2-LOR201,"9TH SEPTEMBER, 2022",,"18,67 €","20,32 €","20,00 €",LOR 201,LOR,201
250,Iscan,Lost-Origin,2.0,267,Secret Rare ,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Iscan-V3-LOR207,"9TH SEPTEMBER, 2022",,"4,29 €","5,00 €","4,95 €",LOR 207,LOR,207
261,Hisuian Zoroark,Lost-Origin,8.99,40,Promo,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Hisuian-Zoroark-V3-LOR076,"9TH SEPTEMBER, 2022",,,,,LOR 076,LOR,76
268,Terapagos ex,Stellar-Crown,6.0,488,Double Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Stellar-Crown/Terapagos-ex-V1-SCR128,"13TH SEPTEMBER, 2024",,,,,SCR 128,SCR,128
273,Blastoise ex,Stellar-Crown,0.7,678,Double Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Stellar-Crown/Blastoise-ex-SCR030,"13TH SEPTEMBER, 2024",,,,,SCR 030,SCR,30
278,Lapras ex,Stellar-Crown,0.5,808,Double Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Stellar-Crown/Lapras-ex-V1-SCR032,"13TH SEPTEMBER, 2024",,,,,SCR 032,SCR,32
284,Galvantula ex,Stellar-Crown,0.5,861,Double Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Stellar-Crown/Galvantula-ex-V1-SCR051,"13TH SEPTEMBER, 2024",,,,,SCR 051,SCR,51
289,Dachsbun ex,Stellar-Crown,0.69,715,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Stellar-Crown/Dachsbun-ex-V2-SCR160,"13TH SEPTEMBER, 2024",0.0,"1,40 €","1,33 €","1,34 €",SCR 160,SCR,160
290,Squirtle,Stellar-Crown,22.8,303,Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Stellar-Crown/Squirtle-SCR148,"13TH SEPTEMBER, 2024",0.0,"37,92 €","37,36 €","37,34 €",SCR 148,SCR,148
291,Crispin,Stellar-Crown,1.98,486,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Stellar-Crown/Crispin-V2-SCR164,"13TH SEPTEMBER, 2024",49.0,"3,63 €","4,41 €","3,98 €",SCR 164,SCR,164
295,Meditite,Stellar-Crown,1.7,580,Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Stellar-Crown/Meditite-V2-SCR153,"13TH SEPTEMBER, 2024",0.0,"2,82 €","2,92 €","2,79 €",SCR 153,SCR,153
296,Bulbasaur,Stellar-Crown,23.0,329,Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Stellar-Crown/Bulbasaur-SCR143,"13TH SEPTEMBER, 2024",0.0,"35,03 €","34,81 €","34,91 €",SCR 143,SCR,143
297,Hydrapple ex,Stellar-Crown,0.5,562,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Stellar-Crown/Hydrapple-ex-V2-SCR156,"13TH SEPTEMBER, 2024",0.0,"2,11 €","2,05 €","1,88 €",SCR 156,SCR,156
300,Archaludon,Stellar-Crown,1.2,636,Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Stellar-Crown/Archaludon-V2-SCR155,"13TH SEPTEMBER, 2024",0.0,"1,98 €","2,04 €","1,99 €",SCR 155,SCR,155
301,Raboot,Stellar-Crown,2.5,629,Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Stellar-Crown/Raboot-V2-SCR147,"13TH SEPTEMBER, 2024",0.0,"3,73 €","3,65 €","3,79 €",SCR 147,SCR,147
302,Crabominable,Stellar-Crown,1.45,587,Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Stellar-Crown/Crabominable-V2-SCR149,"13TH SEPTEMBER, 2024",0.0,"2,55 €","2,32 €","2,35 €",SCR 149,SCR,149
303,Galvantula ex,Stellar-Crown,1.49,539,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Stellar-Crown/Galvantula-ex-V2-SCR159,"13TH SEPTEMBER, 2024",0.0,"2,43 €","2,25 €","2,51 €",SCR 159,SCR,159
304,Turtonator,Stellar-Crown,1.15,612,Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Stellar-Crown/Turtonator-V2-SCR146,"13TH SEPTEMBER, 2024",0.0,"2,40 €","2,22 €","2,25 €",SCR 146,SCR,146
305,Milcery,Stellar-Crown,1.0,553,Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Stellar-Crown/Milcery-V2-SCR152,"13TH SEPTEMBER, 2024",0.0,"2,59 €","2,56 €","2,45 €",SCR 152,SCR,152
