Name,Expansion,Min price,Exemplaires en vente,Rareté,mkm_url,expansion_release_date,Tournament_last_month,Price trend,Price 7 days,Price 30 days
Roselia (LOR 014),Lost-Origin,"0,02 €",14257,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Roselia-LOR014,"9TH SEPTEMBER, 2022",,,,
Paras (LOR 004),Lost-Origin,"0,02 €",9015,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Paras-LOR004,"9TH SEPTEMBER, 2022",,,,
Panic Mask (LOR 165),Lost-Origin,"0,02 €",7377,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Panic-Mask-LOR165,"9TH SEPTEMBER, 2022",,,,
Eternatus V (LOR TG21),Lost-Origin,"2,45 €",354,Special Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Eternatus-V-LORTG21,"9TH SEPTEMBER, 2022",,,,
Finneon (LOR 040),Lost-Origin,"0,02 €",8928,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Finneon-LOR040,"9TH SEPTEMBER, 2022",,,,
Fantina (LOR 157),Lost-Origin,"0,02 €",12742,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Fantina-V1-LOR157,"9TH SEPTEMBER, 2022",,,,
Colress's Experiment (LOR 190),Lost-Origin,"2,00 €",403,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Colresss-Experiment-V2-LOR190,"9TH SEPTEMBER, 2022",70.0,"3,57 €","2,63 €","3,31 €"
Seadra (LOR 036),Lost-Origin,"0,02 €",9694,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Seadra-LOR036,"9TH SEPTEMBER, 2022",,,,
Shuppet (LOR 072),Lost-Origin,"0,02 €",13876,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Shuppet-LOR072,"9TH SEPTEMBER, 2022",,,,
Rhyhorn (LOR 089),Lost-Origin,"0,02 €",8771,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Rhyhorn-LOR089,"9TH SEPTEMBER, 2022",,,,
Spinarak (LOR 112),Lost-Origin,"0,02 €",10050,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Spinarak-LOR112,"9TH SEPTEMBER, 2022",,,,
Komala (LOR 149),Lost-Origin,"0,02 €",7819,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Komala-LOR149,"9TH SEPTEMBER, 2022",,,,
